"Party","Parent Category","Category","Gas","Unit","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Year_2017"
"Estonia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",38941.968146052495,38941.968146052495,35915.42365801015,26430.455442752293,19474.170199311127,20691.288707915504,18562.916256157714,19193.642363533916,18556.773968947073,16260.74973289108,14767.750201823086,13967.994280659446,16096.776305942962,14798.827598881846,16333.79883814995,16535.168315532042,16271.58337003346,15308.51024256384,18665.66308399013,16664.036206981258,13512.804131959123,19068.920362378096,18742.69229770985,17547.088254534367,20287.884046896546,19315.612467023937,15744.500572992074,16919.76677234214,19087.138355390824
"European Union (Convention)","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",5404553.10102813,5404553.10102813,5286353.4083628245,5141192.561293845,5044788.039543188,5008942.727500612,5038309.553264094,5112424.547709975,5026569.08017678,4971127.036139116,4853067.137351465,4871909.804053097,4894945.195729026,4877911.365105119,4981668.62679617,4948051.377356065,4920392.507969184,4897592.578792426,4876524.218236776,4725196.796404738,4360301.148731689,4468687.926839911,4323426.018025608,4261818.418726606,4162143.606259934,4003809.7654612726,4028203.892721135,4017553.7145961984,4065088.7496001865
"European Union (KP)","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",5420330.8385934755,5420330.8385934755,5301926.1930793915,5156730.618149869,5060412.230190382,5024483.636449701,5054035.388493274,5128327.322052358,5042782.85548169,4987710.907536269,4869747.091518332,4888553.757115953,4911277.954925977,4894395.86392416,4997995.557254278,4964531.43408957,4936915.927158542,4914888.496712658,4894343.832850101,4743261.093581541,4377896.764815838,4486100.321019529,4340570.10899189,4279009.822566241,4179353.2179070567,4021039.5281580966,4045421.864821969,4034531.345696605,4082224.774740983
"Finland","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",56361.41508945621,56361.41508945621,41718.603863265445,46385.31173404925,48505.21985697413,60799.020037953334,57740.27333867357,56318.18327848425,58972.99958507838,57029.28031212274,54153.829864861174,51244.79667030275,54725.77988693526,56105.20487002031,63207.742305047286,58352.53663121235,45385.38356652047,50626.041787385475,56947.98764740771,50113.901184354414,34054.82016411407,53477.506064472684,45543.30516339886,37634.07600505877,43889.59792675064,36968.25943113532,35056.22943338376,39518.34113562166,34956.412856483206
"France","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",529212.6270307541,529212.6270307541,556757.5132761928,547448.2020350529,522989.2058740724,519051.86566025286,525203.0016965037,536167.8900097357,528552.7774500931,540446.9382900654,529270.7382709672,539911.8880169328,532836.1605863397,518175.88595975353,518494.9062291484,514208.5306061596,515124.34751183033,500113.3268388307,489330.7918381696,481711.88819950505,465834.57977823616,477846.2956558012,456809.2614625108,454348.66586896474,450727.35563729523,428959.2091017647,430894.35499011166,434364.523048777,439420.40753881575
"Germany","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",1219680.8658852072,1219680.8658852072,1175120.3754445037,1124423.8969500097,1115575.5181243566,1093288.5015788912,1089979.7337916011,1107953.2998333415,1071838.1342905902,1046192.8531713509,1011426.540274175,1007227.03370351,1021694.9831455944,1034682.5587682171,1029325.0372488842,1009761.8828148693,981284.1548203103,988193.9703710335,962075.1123796374,956880.5412375961,890024.524943306,926173.2579644456,904572.575253559,910135.7419409394,927962.5135893724,888305.2264006097,892815.0463541397,897139.5198609643,891426.2513662362
"Greece","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",100993.40770729573,100993.40770729573,100867.34290901983,102034.31497561623,101164.32172316365,104217.69398771174,106283.60004902519,110007.48803951664,115267.19289738289,121053.72467353428,120444.50671445033,124405.0759821965,124986.8396142406,124623.510812438,128627.30816984392,129353.19011255774,132998.3371140896,129089.99002100945,133533.18174517903,128761.0890126001,121498.15554282711,115393.40506273007,112322.70775474043,109060.15616613341,100964.41509836898,98987.32734391303,91611.18165169304,88224.47102011701,92211.68718404838
"Hungary","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",107557.39154785384,91137.17123428485,85099.07243846478,74427.04202748313,72906.32905862949,70975.08000005058,69848.15270611591,75871.99323586778,74053.44125392825,72322.12808492461,74994.82693262848,72801.17328394523,73253.85651948185,72230.50833600001,72758.78853938253,72638.07890477084,70008.18242689593,71039.20983263181,68943.34591570696,65508.76570676217,60962.26571406204,60936.945020977975,59720.27500524923,55268.82125051671,53420.64853808387,52551.958780604495,55409.312791083874,56837.26692596441,58348.60671188411
"Iceland","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",13005.382674735685,13005.382674735685,12785.17852400317,12686.188046166902,12769.6345321398,12668.007459722145,12787.071448453682,12833.27547848199,13002.955270994938,13168.110534436726,13401.646768153681,13424.621378280362,13334.325390962216,13429.076582608312,13400.783914914728,13507.996126807153,13374.55462143974,14028.656803502914,14361.586552613653,14767.323859602348,14442.827156077878,14316.765331135311,14023.704704754513,14033.883729789313,14012.855213560508,14025.143924356393,14078.413416564146,13985.209141279292,14075.428684675238
"Ireland","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",60185.04117822793,60185.04117822793,60648.14744923074,60278.645033229084,60303.48307390643,62109.052544840364,64091.48054740694,66121.12466838224,66656.16530273788,69142.69754516776,70248.24869177974,74138.2449453196,76232.13512392384,74431.170032383,75042.5452181972,72864.57369660526,75156.57585890646,74834.51286159422,73053.12962597352,72042.39938070317,65894.99257410601,66426.55629446603,61445.22811616842,61787.930579915235,62133.041486719114,61063.57484066191,63945.19455703238,65036.667494262714,66740.9915744169
"Italy","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",514462.16636855213,514462.16636855213,501544.2179353463,500226.1510033969,508266.9791026894,489450.3378849186,510500.4928971747,502768.51981189783,518745.19025687204,532964.4154938969,529002.9332256323,537876.7276007193,537053.6376341854,531874.8263441364,554092.8106276323,552557.6729658106,552223.2417101124,540810.8084517481,554656.9911928657,522827.1434798349,468947.52296498546,471099.44148304424,463376.7635439182,450913.7132259239,405755.93961909186,388780.101194275,394435.77009413904,395561.0424923674,409328.95615893824
"Japan","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",1207528.3739282123,1207528.3739282123,1213322.69772103,1222944.116544185,1212445.9123491219,1277089.084187044,1297226.4871275397,1305215.0842485342,1295145.5785776386,1245162.2634613211,1268433.9650647917,1286939.1589236872,1260968.2503155158,1283299.675864274,1279069.0746708803,1275230.1546152728,1287617.3141834803,1271481.06281945,1312462.6460636565,1250693.8528272482,1181607.079874108,1232184.9204420568,1283928.7806556476,1323733.7925914528,1341897.1232432632,1295540.8502366845,1261892.7620290373,1251230.999479716,1232172.7693583877
"Kazakhstan","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",370180.7585082459,370180.7585082459,353828.17140030995,322313.70471724396,279969.29429261683,228966.55099095101,209630.35610869506,188638.8190290545,180866.5417808814,174245.29039770243,149205.41128330617,186032.90284566564,153378.54897429762,178531.95872990496,209246.96388270054,216440.44582203403,230987.48258048735,258976.6343108917,267522.4963044509,270764.18355885317,268608.9590718754,297010.81627998146,287265.07340843737,293468.625888099,298471.0571537166,316178.7691303183,319729.9534360666,328054.7517815507,346154.8636182333
"Latvia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",16430.543823565276,16430.543823565276,14123.772514278184,9012.151589810113,5634.921353173804,797.1653088989503,517.9604127806958,292.65634440603185,1435.1989369402072,1827.739622140346,4643.841693457569,1736.3527214771066,1516.3668876182742,3257.7937700115226,3833.295774118387,7490.981861158277,8202.965554959095,8031.069767600794,8139.103997553334,7208.470872474236,9174.69525524461,12356.859596026674,11496.439803018418,9264.45209750658,9942.038985056799,14212.519960549369,12952.75940796727,10962.25468259439,9599.347517770275
